id,name,partyLabel,constituencyLabel,homepage
fernando.piedade,FERNANDO DA PIEDADE DIAS DOS SANTOS,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/fernando.piedade
fernando.van-dunem,FERNANDO JOSÉ DE FRANÇA DIAS VAN-DÚNEM,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/fernando.van-dunem
francisco.chitapa,FRANCISCO BOAVENTURA CANJONGO CHITAPA,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/francisco.chitapa
francisco.antonio,FRANCISCO GAIO KAKOMA ANTÓNIO,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/francisco.antonio
francisco.carneiro,FRANCISCO HIGINO LOPES CARNEIRO,MPLA,Círculo Eleitoral Provincial de Luanda,http://www.parlamento.ao/web/francisco.carneiro
franco.nhani,FRANCO MENESES MARCOLINO NHANI,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/franco.nhani
felix.lucas,FÉLIX SIMÃO LUCAS,UNITA,Círculo Elaitoral Provincial do Uíge,http://www.parlamento.ao/web/felix.lucas
gilberto.pereira,GILBERTO MANUEL PEREIRA,MPLA,Círculo Eleitoral Provincial do Cuanza Sul,http://www.parlamento.ao/web/gilberto.pereira
ginga.santos,GINGA AFONSO MIGUEL DOS SANTOS,MPLA,Círculo Eleitoral Provincial do Bengo,http://www.parlamento.ao/web/ginga.santos
helena.abel,HELENA BONGUELA ABEL,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/helena.abel
henrique.junior,HENRIQUE ANDRÉ JÚNIOR,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/henrique.junior
isabel.peliganga,ISABEL JOÃO MIGUEL SEBASTIÃO PELIGANGA,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/isabel.peliganga
jesuino.silva,JESUÍNO MANUEL DA SILVA,MPLA,Circulo Eleitoral Nacional,http://www.parlamento.ao/web/jesuino.silva
joana.pedro,JOANA DE JESUS DA CONCEIÇÃO PEDRO ANDRÉ E PEDRO,MPLA,Circulo Eleitoral Provincial de Malange,http://www.parlamento.ao/web/joana.pedro
joana.candido,JOANA LINA RAMOS BAPTISTA CÂNDIDO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/joana.candido
joaquim.junior,JOAQUIM ANTÓNIO CARLOS REIS JÚNIOR,MPLA,Círculo Elaitoral Nacional,http://www.parlamento.ao/web/joaquim.junior
joaquim.david,JOAQUIM DUARTE DA COSTA DAVID,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/joaquim.david
joaquim.almeida,JOAQUIM FREDERICO D'ALMEIDA,MPLA,Circulo Eleitoral Provincial de Benguela,http://www.parlamento.ao/web/joaquim.almeida
joaquim.migueis,JOAQUIM JOSÉ MIGUEIS,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/joaquim.migueis
joaquim.nafoia,JOAQUIM NAFOIA,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/joaquim.nafoia
jorge.dombolo,JORGE INOCÊNCIO DOMBOLO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/jorge.dombolo
jorge.vitorino,JORGE VITORINO,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/jorge.vitorino
jorge.augusto,JORGE MIGUÊNS AUGUSTO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/jorge.augusto
jorge.uefu,JORGE RIBEIRO UEFU,MPLA,Circulo Eleitoral Provincial da Lunda Norte,http://www.parlamento.ao/web/jorge.uefu
josefina.gomes,JOSEFINA NDESIPEWA GOMES,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/josefina.gomes
josefina.diakite,JOSEFINA PERPÉTUA PERES DOMINGOS PITRA DIAKITE,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/josefina.diakite
jose.manuel,JOSÉ ARTUR CARMO MANUEL,MPLA,Círculo Eleitoral Provincial de Cabinda,http://www.parlamento.ao/web/jose.manuel
jose.eduardo,JOSÉ EDUARDO,UNITA,Círculo Elaitoral Provincial de Luanda,http://www.parlamento.ao/web/jose.eduardo
jose.miudo,JOSÉ MIÚDO,MPLA,Circulo Eleitoral Provincial da Lunda Norte,http://www.parlamento.ao/web/jose.miudo
jose.chiwale,JOSÉ SAMUEL CHIWALE,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/jose.chiwale
jose.pedro,JOSÉ FRANCISCO TINGÃO PEDRO,MPLA,Círculo Eleitoral Provincial do Bengo,http://www.parlamento.ao/web/jose.pedro
jose.semedo,JOSÉ ANTÓNIO LOPES SEMEDO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/jose.semedo
